rock_type,geological_structure,joint_spacing_cm,weathering_grade,presence_of_clay_seams,slope_angle_degrees,bench_height_m,slope_aspect_degrees,bench_width_m,annual_rainfall_mm,pore_water_pressure_kPa,seepage_presence,seismic_activity,blast_vibration_intensity_mm_s,blast_frequency_per_month,time_since_last_rockfall_days,rockfall_event,rockfall_risk,high_risk_flag
basalt,joint,70,slightly weathered,0,55,9,270,7,2200,25,0,1,25,9,30,0,0.02,0
basalt,dyke,30,fresh,0,50,7,190,9,1906,20,0,0,25,11,15,1,0.71,1
granite,fault,30,highly weathered,1,67,10,190,7,2002,80,1,1,42,6,40,1,0.9,1
granite,bedding plane,65,highly weathered,1,70,14,180,11,2120,75,1,1,42,10,20,1,1.0,1
limestone,bedding plane,75,fresh,0,69,7,150,12,1314,22,0,0,18,6,135,0,0.0,0
granite,fault,35,slightly weathered,0,67,9,150,7,1601,45,1,0,38,6,85,1,0.63,0
limestone,bedding plane,60,highly weathered,1,45,13,85,7,1907,55,1,0,30,10,20,0,0.13,0
sandstone,bedding plane,31,highly weathered,1,58,6,140,8,1907,85,1,1,38,4,155,1,0.84,1
granite,dyke,25,slightly weathered,0,65,10,240,10,1802,30,1,0,25,8,45,1,0.73,1
basalt,joint,55,slightly weathered,0,64,12,240,9,1956,52,1,0,24,8,40,0,0.14,0
basalt,dyke,14,fresh,0,65,10,250,9,1416,10,0,0,35,7,60,0,0.04,0
sandstone,fault,65,slightly weathered,1,57,10,280,8,1358,54,0,1,25,10,45,0,0.1,0
basalt,dyke,15,fresh,0,72,11,240,11,1403,45,0,0,35,9,30,0,0.07,0
granite,fault,20,slightly weathered,1,68,6,310,10,2002,60,1,0,27,10,60,1,0.76,1
granite,joint,50,slightly weathered,0,60,9,90,10,1700,40,0,0,20,10,30,0,0.02,0
sandstone,bedding plane,55,fresh,1,46,7,330,6,1326,25,0,0,22,7,70,0,0.01,0
limestone,fault,20,fresh,0,50,7,210,12,915,25,0,0,20,6,15,0,0.0,0
sandstone,joint,20,slightly weathered,0,60,9,270,7,1801,40,0,0,22,6,90,0,0.0,0
basalt,joint,75,highly weathered,1,67,10,290,7,1802,75,1,0,38,9,75,0,0.17,0
limestone,bedding plane,25,highly weathered,1,66,12,150,13,1405,75,1,1,45,7,120,1,0.93,1
granite,fault,20,slightly weathered,0,55,10,210,8,1703,45,0,0,30,8,50,1,0.66,0
limestone,dyke,18,slightly weathered,0,76,14,330,11,2119,77,1,0,33,10,170,0,0.19,0
granite,dyke,85,slightly weathered,1,74,15,160,15,2201,70,1,1,43,9,30,1,0.93,1
limestone,bedding plane,75,highly weathered,1,69,7,310,10,2305,95,1,1,48,5,100,1,0.92,1
granite,fault,35,slightly weathered,1,67,15,180,13,1501,70,1,1,38,4,180,0,0.21,0
limestone,joint,40,slightly weathered,0,73,14,230,8,2435,90,1,1,48,12,75,1,0.99,1
limestone,bedding plane,70,highly weathered,1,74,12,25,14,2107,95,1,0,33,9,50,1,0.91,1
limestone,fault,49,highly weathered,0,75,8,350,7,2020,75,1,1,25,11,70,1,0.85,1
basalt,fault,65,slightly weathered,1,73,10,15,13,2435,65,1,1,38,9,70,0,0.17,0
limestone,bedding plane,70,highly weathered,0,45,6,90,12,1503,80,0,0,20,6,120,0,0.03,0
granite,fault,56,slightly weathered,1,66,9,150,12,1504,65,0,0,45,7,120,0,0.1,0
limestone,bedding plane,70,highly weathered,1,75,6,210,13,1801,80,1,0,47,10,20,1,0.96,1
sandstone,fault,25,highly weathered,1,66,9,210,7,2201,70,1,0,15,7,120,1,0.69,0
limestone,fault,59,slightly weathered,0,67,12,128,11,2103,77,1,1,24,7,6,0,0.21,0
basalt,fault,55,slightly weathered,0,67,8,290,9,1701,40,0,0,23,7,130,0,0.01,0
sandstone,fault,52,highly weathered,0,47,6,180,7,1703,60,0,0,15,5,150,0,0.0,0
granite,fault,40,slightly weathered,0,63,11,110,10,2006,55,1,1,40,12,10,1,0.99,1
sandstone,fault,45,slightly weathered,1,66,5,105,9,2101,65,0,1,33,7,60,0,0.07,0
granite,fault,50,slightly weathered,0,47,10,240,11,1600,35,0,1,29,7,35,0,0.07,0
limestone,bedding plane,60,slightly weathered,0,73,14,330,9,1702,50,1,0,38,9,55,0,0.1,0
granite,fault,70,fresh,0,68,9,210,11,1908,45,0,1,29,9,95,0,0.02,0
limestone,joint,45,slightly weathered,0,68,5,120,14,1700,50,0,0,32,9,50,0,0.04,0
granite,fault,50,slightly weathered,1,65,8,330,7,2113,85,1,1,42,10,90,1,0.87,1
granite,fault,60,slightly weathered,0,66,14,120,13,1703,55,0,0,42,12,75,0,0.16,0
sandstone,fault,60,slightly weathered,1,63,13,270,13,2445,95,1,1,50,12,20,1,0.95,1
granite,fault,58,slightly weathered,1,68,11,330,9,2204,72,1,0,37,11,45,0,0.18,0
granite,fault,45,slightly weathered,0,60,14,250,12,1800,80,1,0,25,8,30,0,0.07,0
granite,fault,85,slightly weathered,0,67,7,180,14,1416,22,1,0,15,6,75,0,0.0,0
limestone,fault,80,fresh,0,58,6,290,8,2032,45,0,1,39,8,110,0,0.1,0
sandstone,bedding plane,50,fresh,1,47,7,300,10,919,15,0,0,15,4,10,0,0.0,0
sandstone,joint,70,slightly weathered,1,67,13,250,8,1600,37,0,0,40,4,75,0,0.1,0
limestone,fault,25,highly weathered,1,69,10,330,8,2300,77,1,0,34,11,150,1,0.82,1
basalt,dyke,20,slightly weathered,0,50,9,85,12,1903,40,0,0,20,9,90,0,0.02,0
granite,bedding plane,40,slightly weathered,0,69,10,250,10,1757,55,1,0,30,8,32,0,0.09,0
granite,dyke,18,fresh,0,58,13,100,12,1404,30,0,1,20,7,12,0,0.08,0
limestone,fault,55,slightly weathered,0,74,14,60,7,2007,75,1,1,42,6,85,0,0.24,0
sandstone,joint,28,slightly weathered,0,55,8,240,6,1506,25,0,0,12,6,90,0,0.0,0
granite,fault,45,fresh,0,72,13,240,9,1404,60,0,0,22,7,130,1,0.55,0
basalt,fault,75,highly weathered,1,69,8,280,7,2310,100,1,1,42,6,75,1,0.92,1
limestone,fault,45,slightly weathered,0,59,11,200,12,2009,50,1,0,24,7,65,1,0.68,0
basalt,fault,45,fresh,0,67,12,195,7,903,45,1,0,35,8,60,1,0.69,0
granite,fault,40,fresh,0,74,15,200,9,1416,35,0,0,25,7,45,0,0.01,0
basalt,dyke,25,fresh,0,70,11,350,7,1600,50,0,1,35,9,90,1,0.8,1
sandstone,fault,65,slightly weathered,0,74,12,330,10,2023,70,1,0,37,6,25,1,0.82,1
limestone,fault,55,fresh,0,72,14,150,13,2400,85,1,1,50,12,20,1,0.99,1
sandstone,joint,48,slightly weathered,0,47,9,120,9,1039,20,0,0,18,4,13,0,0.0,0
limestone,fault,80,highly weathered,0,65,14,110,12,2302,80,1,1,40,9,15,1,0.97,1
limestone,bedding plane,41,highly weathered,1,60,12,135,11,1505,82,1,0,31,7,50,0,0.13,0
sandstone,joint,55,slightly weathered,0,70,9,45,9,2026,65,0,0,22,6,180,0,0.01,0
limestone,bedding plane,20,highly weathered,0,67,14,330,8,2121,90,1,1,48,11,10,1,0.99,1
sandstone,joint,50,slightly weathered,0,68,9,340,9,2500,20,0,0,33,8,110,0,0.05,0
sandstone,bedding plane,70,highly weathered,1,58,9,45,12,2119,75,1,0,30,5,20,0,0.1,0
granite,fault,52,slightly weathered,1,57,9,130,9,2202,66,1,1,39,8,115,1,0.81,1
limestone,bedding plane,48,slightly weathered,1,72,12,274,6,2012,70,1,0,44,9,166,1,0.91,1
limestone,fault,28,slightly weathered,0,60,9,200,12,1506,30,1,0,30,8,60,0,0.12,0
sandstone,joint,25,slightly weathered,0,70,10,180,10,1800,40,0,0,35,8,30,1,0.71,1
limestone,bedding plane,38,highly weathered,0,74,12,200,12,1502,70,1,1,45,10,25,1,1.0,1
granite,fault,55,slightly weathered,1,68,8,70,11,2309,60,1,1,22,7,110,1,0.81,1
limestone,fault,65,slightly weathered,1,70,11,90,14,2201,75,1,1,38,7,70,0,0.24,0
limestone,bedding plane,75,highly weathered,1,59,13,250,14,2018,65,1,0,48,4,3,1,0.87,1
sandstone,bedding plane,70,highly weathered,1,50,7,270,6,2026,80,1,0,30,11,120,0,0.06,0
sandstone,joint,15,fresh,0,65,10,120,12,1421,55,0,0,35,7,60,0,0.06,0
basalt,dyke,80,fresh,1,60,12,180,7,2202,50,0,1,40,10,30,1,0.87,1
sandstone,joint,62,slightly weathered,1,69,10,330,9,2202,50,0,1,24,10,95,0,0.09,0
granite,dyke,70,slightly weathered,0,71,15,210,14,2310,90,1,1,36,12,5,1,1.0,1
basalt,dyke,65,slightly weathered,0,60,12,270,9,1762,55,0,1,38,10,25,1,0.8,1
granite,fault,35,slightly weathered,0,69,9,225,10,1764,60,0,0,36,10,50,0,0.11,0
limestone,bedding plane,30,highly weathered,1,72,10,150,11,2102,85,1,1,42,8,120,1,0.98,1
granite,dyke,65,fresh,0,72,12,330,11,2028,48,1,1,44,12,85,0,0.35,0
granite,fault,40,highly weathered,0,66,6,150,13,1905,55,1,0,48,9,25,0,0.17,0
sandstone,fault,50,slightly weathered,0,67,8,240,9,1910,35,0,0,27,8,75,0,0.04,0
granite,fault,50,fresh,0,66,5,130,10,1700,35,0,0,20,9,120,0,0.02,0
granite,fault,52,slightly weathered,0,70,14,215,6,1908,40,0,0,30,7,90,0,0.01,0
sandstone,fault,85,highly weathered,0,70,13,45,6,2014,70,1,1,25,10,150,1,0.82,1
sandstone,bedding plane,22,highly weathered,1,52,9,135,12,1902,80,1,0,32,8,50,1,0.66,0
sandstone,joint,48,slightly weathered,0,67,13,130,9,1909,30,0,0,18,6,105,0,0.0,0
limestone,bedding plane,66,highly weathered,1,74,5,330,8,2102,75,1,0,46,6,140,1,0.85,1
limestone,dyke,85,slightly weathered,1,62,9,15,6,1601,60,1,0,38,9,100,1,0.72,1
basalt,dyke,55,highly weathered,0,67,13,180,9,1701,60,1,0,30,10,10,1,0.69,0
limestone,fault,59,slightly weathered,1,72,9,145,11,1600,67,1,0,39,12,70,0,0.21,0
granite,fault,55,slightly weathered,0,58,13,120,9,2200,36,1,0,25,6,33,0,0.03,0
sandstone,joint,55,slightly weathered,0,55,7,85,6,2303,20,1,0,20,5,120,0,0.0,0
basalt,joint,45,fresh,0,65,12,120,10,2201,25,0,1,45,8,60,0,0.25,0
granite,fault,46,fresh,0,72,12,250,8,1251,57,1,0,21,7,28,0,0.11,0
basalt,fault,80,fresh,0,54,14,230,9,1906,20,0,0,22,5,10,0,0.02,0
basalt,dyke,80,fresh,0,59,9,270,10,1657,22,0,1,41,10,85,1,0.74,1
granite,joint,25,slightly weathered,0,65,10,180,10,1802,55,1,0,35,8,45,1,0.81,1
granite,fault,35,slightly weathered,1,58,10,180,9,1147,50,1,1,29,7,50,0,0.06,0
limestone,bedding plane,45,highly weathered,1,64,8,180,7,1912,80,1,0,32,11,150,0,0.06,0
limestone,dyke,55,slightly weathered,0,67,13,220,7,1601,65,1,0,22,5,45,0,0.06,0
basalt,dyke,65,fresh,0,67,15,310,12,2304,35,0,1,40,11,20,1,0.88,1
limestone,bedding plane,33,slightly weathered,0,73,11,330,10,1507,75,1,1,37,7,50,1,0.73,1
limestone,dyke,35,slightly weathered,1,74,9,350,9,1911,95,1,1,40,12,20,1,0.92,1
sandstone,joint,55,highly weathered,1,73,13,270,7,1901,35,1,0,25,11,45,1,0.79,1
sandstone,fault,15,slightly weathered,0,58,7,310,9,1600,25,0,0,15,5,150,0,0.0,0
basalt,dyke,28,fresh,1,66,13,157,14,1903,22,0,0,10,7,75,0,0.0,0
limestone,joint,55,slightly weathered,1,65,10,250,10,2100,70,1,0,30,11,45,1,0.75,1
limestone,bedding plane,85,slightly weathered,1,73,14,315,7,2300,85,1,1,28,6,170,1,0.91,1
basalt,joint,70,fresh,1,58,12,270,9,1400,35,1,0,37,10,115,0,0.13,0
limestone,bedding plane,50,highly weathered,1,64,14,195,6,1601,85,1,0,29,11,160,0,0.15,0
limestone,fault,65,highly weathered,1,74,13,63,9,2121,70,1,0,42,6,60,1,0.9,1
limestone,fault,75,slightly weathered,1,66,7,300,6,2101,100,1,1,47,11,130,1,0.96,1
granite,dyke,75,fresh,0,69,13,70,10,1322,40,1,1,36,6,135,0,0.09,0
limestone,bedding plane,95,highly weathered,1,73,10,300,7,1303,95,1,0,37,6,25,1,0.83,1
basalt,dyke,35,slightly weathered,0,66,13,130,9,1601,65,1,0,30,9,45,1,0.7,0
granite,fault,45,slightly weathered,0,65,8,130,13,1802,35,1,1,38,7,75,0,0.09,0
limestone,fault,60,slightly weathered,1,73,14,60,15,2421,70,1,1,38,9,75,0,0.14,0
sandstone,dyke,55,fresh,0,74,12,160,11,1556,35,0,0,15,7,60,0,0.01,0
limestone,joint,40,fresh,0,68,9,120,9,1703,40,0,0,35,7,10,0,0.04,0
granite,fault,20,slightly weathered,0,63,9,240,10,1600,50,1,0,23,6,2,0,0.06,0
granite,fault,40,highly weathered,1,59,9,210,9,1911,32,1,0,29,5,95,0,0.03,0
limestone,bedding plane,78,highly weathered,0,74,14,330,12,2442,90,1,1,47,12,95,1,0.97,1
limestone,joint,54,slightly weathered,0,74,14,85,12,2121,50,1,1,42,6,65,0,0.23,0
basalt,dyke,55,slightly weathered,1,74,7,270,8,2010,65,1,0,33,9,75,0,0.13,0
limestone,bedding plane,30,highly weathered,0,67,7,320,9,944,85,1,0,28,12,170,0,0.2,0
basalt,joint,60,fresh,0,52,12,120,6,1961,25,0,1,43,7,60,0,0.1,0
granite,dyke,65,highly weathered,0,69,14,45,6,1911,30,0,0,38,8,150,0,0.09,0
limestone,bedding plane,40,fresh,0,59,7,200,9,1363,65,0,0,18,8,115,0,0.01,0
limestone,bedding plane,45,highly weathered,1,73,14,160,7,2025,70,1,0,37,7,25,1,0.9,1
granite,fault,25,fresh,0,55,12,135,7,1422,45,0,0,15,8,45,0,0.0,0
limestone,dyke,30,slightly weathered,0,73,14,270,14,2023,45,1,1,40,7,30,1,0.92,1
sandstone,bedding plane,35,highly weathered,1,74,10,350,12,1904,75,1,1,50,12,90,1,0.93,1
sandstone,bedding plane,89,fresh,0,71,13,300,9,1600,60,1,0,36,9,78,0,0.18,0
granite,dyke,77,slightly weathered,0,64,9,95,7,1506,51,0,1,23,10,80,0,0.08,0
basalt,dyke,85,fresh,0,73,10,180,5,1700,75,0,1,45,11,60,1,0.9,1
sandstone,fault,30,slightly weathered,0,59,13,270,8,1418,50,0,0,17,5,100,0,0.0,0
granite,fault,20,slightly weathered,1,66,15,150,7,2306,90,1,1,46,12,5,1,0.98,1
sandstone,fault,70,highly weathered,1,66,9,135,12,1954,65,1,1,20,11,120,1,0.74,1
sandstone,bedding plane,15,slightly weathered,0,72,9,90,9,1600,40,1,0,35,9,30,0,0.1,0
sandstone,fault,45,slightly weathered,0,64,13,290,9,1352,65,1,0,42,8,35,0,0.06,0
basalt,dyke,55,slightly weathered,0,67,10,240,14,1654,52,1,0,38,9,80,0,0.04,0
granite,bedding plane,48,slightly weathered,0,68,11,108,10,1859,75,1,0,22,12,135,0,0.07,0
sandstone,joint,52,slightly weathered,0,67,9,290,6,1915,50,0,0,33,9,25,0,0.06,0
basalt,dyke,60,slightly weathered,0,74,14,300,12,1702,50,1,0,39,9,55,0,0.08,0
basalt,fault,60,slightly weathered,1,69,13,210,6,1601,50,1,1,49,9,80,0,0.17,0
limestone,dyke,65,highly weathered,0,69,15,230,13,1315,88,1,1,44,12,70,0,0.24,0
basalt,joint,61,fresh,0,63,14,250,11,2010,42,0,0,41,9,75,0,0.13,0
limestone,bedding plane,28,slightly weathered,0,62,7,184,8,1600,52,0,0,21,9,108,0,0.01,0
limestone,bedding plane,55,highly weathered,1,60,6,250,13,2025,70,1,0,27,7,100,0,0.04,0
sandstone,bedding plane,65,slightly weathered,0,47,10,90,10,2306,30,1,1,50,9,51,0,0.15,0
granite,fault,80,highly weathered,0,67,14,350,7,2200,90,1,1,45,12,90,1,0.95,1
limestone,fault,50,highly weathered,0,66,11,150,12,2011,75,1,1,40,11,60,1,0.9,1
granite,fault,25,slightly weathered,0,68,10,130,9,2002,30,1,0,25,8,50,1,0.74,1
basalt,fault,45,slightly weathered,1,55,10,180,8,973,25,0,0,20,6,120,0,0.0,0
granite,fault,50,fresh,0,66,13,250,8,1767,33,0,0,38,6,95,0,0.02,0
granite,fault,70,highly weathered,1,67,13,350,11,1702,70,1,1,27,6,95,1,0.81,1
basalt,joint,12,fresh,0,52,7,140,13,2306,10,0,1,22,6,20,0,0.05,0
limestone,fault,60,slightly weathered,1,66,15,100,13,2050,85,1,1,38,12,5,1,1.0,1
granite,fault,50,fresh,0,68,11,75,7,2019,55,1,0,45,9,150,0,0.15,0
basalt,dyke,65,slightly weathered,0,59,9,70,10,1703,40,0,0,30,7,75,0,0.03,0
basalt,dyke,25,fresh,0,58,14,240,13,2000,38,0,0,33,12,100,1,0.73,1
sandstone,bedding plane,55,slightly weathered,1,47,12,330,9,2100,85,1,0,35,8,10,1,0.87,1
basalt,dyke,48,slightly weathered,0,59,9,210,9,1915,75,1,1,33,9,55,0,0.13,0
limestone,bedding plane,35,highly weathered,0,71,6,330,9,1752,85,1,0,20,12,3,1,0.9,1
sandstone,fault,35,slightly weathered,0,64,14,330,12,1761,20,0,0,22,5,80,0,0.01,0
basalt,dyke,47,fresh,0,57,9,145,9,967,52,0,1,19,7,180,0,0.02,0
basalt,dyke,80,highly weathered,1,70,14,330,14,1659,80,1,0,45,9,60,1,0.9,1
sandstone,fault,25,highly weathered,1,71,7,100,6,2311,85,1,1,50,11,15,1,1.0,1
sandstone,dyke,70,slightly weathered,0,66,10,50,14,1914,65,0,0,32,8,75,0,0.03,0
granite,fault,70,slightly weathered,1,74,11,270,7,2201,88,1,1,36,9,100,1,0.92,1
basalt,dyke,15,fresh,0,73,9,330,14,1601,20,0,0,36,5,60,0,0.04,0
basalt,bedding plane,38,slightly weathered,0,74,7,185,6,1856,28,0,0,31,9,20,0,0.05,0
sandstone,bedding plane,53,slightly weathered,0,58,7,105,8,1871,24,0,0,23,4,135,0,0.0,0
granite,dyke,55,slightly weathered,0,67,13,60,9,1851,50,1,1,46,7,70,0,0.22,0
limestone,bedding plane,47,fresh,0,45,9,135,10,1601,20,0,0,20,9,90,0,0.0,0
limestone,bedding plane,72,highly weathered,1,74,5,330,12,2127,72,1,0,49,10,165,1,0.94,1
basalt,fault,15,slightly weathered,1,70,13,105,10,2202,25,1,1,45,6,60,1,0.84,1
granite,fault,35,slightly weathered,0,68,10,190,10,1506,35,0,0,25,8,90,0,0.03,0
basalt,joint,50,slightly weathered,1,67,11,150,12,1600,65,0,1,48,12,10,1,0.94,1
basalt,fault,25,fresh,0,68,14,180,12,2026,55,1,1,35,8,15,1,0.9,1
sandstone,joint,45,slightly weathered,0,59,13,130,12,1800,55,1,0,39,7,60,0,0.04,0
sandstone,bedding plane,65,highly weathered,1,58,12,300,10,1702,55,1,0,38,10,55,1,0.72,1
limestone,bedding plane,90,highly weathered,0,68,8,90,8,2311,80,1,1,40,4,30,0,0.35,0
granite,fault,50,slightly weathered,0,60,13,300,9,2022,55,1,1,35,11,10,1,0.87,1
limestone,bedding plane,30,highly weathered,1,63,9,60,7,2001,85,1,0,25,6,30,1,0.79,1
basalt,fault,90,slightly weathered,0,55,8,330,11,1700,35,0,0,20,5,90,0,0.0,0
limestone,bedding plane,25,highly weathered,1,65,12,160,7,2012,72,1,0,31,9,90,1,0.82,1
granite,dyke,50,fresh,0,67,11,300,9,1912,30,0,0,35,6,90,0,0.0,0
granite,bedding plane,20,slightly weathered,0,65,8,240,6,1600,65,1,0,45,8,30,1,0.81,1
sandstone,fault,68,slightly weathered,0,59,7,90,7,1414,49,1,0,32,5,67,0,0.05,0
sandstone,bedding plane,90,highly weathered,1,72,9,80,10,1600,80,1,1,36,10,95,1,0.87,1
limestone,bedding plane,65,highly weathered,1,74,6,330,10,1915,85,1,0,46,10,50,1,0.96,1
basalt,dyke,85,fresh,0,73,12,45,13,1653,58,1,1,33,9,138,0,0.18,0
limestone,fault,35,fresh,0,55,6,330,7,939,25,0,0,16,5,100,0,0.0,0
limestone,bedding plane,35,fresh,0,72,14,270,7,2103,55,1,0,32,10,25,1,0.79,1
limestone,bedding plane,53,slightly weathered,1,72,12,170,10,2200,73,1,1,34,10,35,1,0.91,1
granite,fault,85,fresh,1,65,10,180,10,1701,70,1,0,30,7,90,1,0.7,0
limestone,bedding plane,35,highly weathered,1,69,12,120,7,2017,85,1,0,42,9,135,1,0.93,1
granite,fault,40,fresh,0,74,13,290,8,1700,60,1,0,47,11,75,1,0.91,1
granite,fault,60,slightly weathered,1,67,7,90,9,1901,88,1,1,44,12,180,1,0.96,1
basalt,dyke,70,fresh,1,69,12,180,10,2031,65,1,1,32,10,95,1,0.88,1
limestone,fault,81,highly weathered,1,66,9,340,10,1961,97,1,0,38,11,95,1,0.89,1
limestone,fault,25,highly weathered,0,70,14,50,10,2203,80,1,1,45,9,60,1,0.96,1
granite,dyke,50,highly weathered,0,72,15,230,7,2120,55,1,0,45,11,120,1,0.86,1
sandstone,fault,55,highly weathered,0,59,6,160,10,2013,81,1,0,31,4,85,0,0.05,0
basalt,dyke,25,slightly weathered,0,68,10,315,14,955,65,0,1,38,7,70,0,0.19,0
limestone,fault,50,slightly weathered,0,73,11,250,9,2001,65,1,1,45,6,60,1,0.88,1
sandstone,joint,15,highly weathered,0,48,13,90,6,1600,21,0,0,19,4,155,0,0.0,0
limestone,bedding plane,65,slightly weathered,1,67,9,310,9,2008,65,1,0,30,7,20,1,0.73,1
granite,fault,35,slightly weathered,1,66,10,150,13,2015,65,1,0,37,10,50,1,0.78,1
sandstone,fault,35,fresh,0,67,10,250,12,2024,40,0,0,25,9,60,0,0.04,0
limestone,fault,50,highly weathered,0,67,8,125,7,1321,80,1,0,22,9,15,0,0.08,0
limestone,bedding plane,40,highly weathered,1,62,9,300,6,1913,80,1,0,25,5,120,0,0.06,0
granite,fault,40,slightly weathered,1,69,15,45,9,1912,78,1,1,42,12,150,1,0.99,1
limestone,fault,35,slightly weathered,0,72,9,150,11,1505,40,0,0,35,6,160,0,0.05,0
granite,fault,11,fresh,0,55,8,330,8,1249,8,0,0,20,4,30,0,0.01,0
granite,fault,55,slightly weathered,0,60,13,180,13,1702,40,1,0,20,7,45,0,0.02,0
granite,bedding plane,25,highly weathered,1,73,5,330,6,1320,90,1,1,32,11,15,1,0.93,1
sandstone,dyke,35,highly weathered,1,68,15,120,7,2309,85,1,1,48,12,5,1,1.0,1
limestone,fault,59,slightly weathered,0,74,7,320,7,1403,50,1,0,22,6,75,0,0.04,0
basalt,dyke,40,slightly weathered,1,70,12,90,12,1801,50,0,1,40,10,30,1,0.95,1
limestone,fault,85,slightly weathered,1,62,9,100,10,1952,85,1,0,39,10,140,0,0.18,0
sandstone,fault,25,slightly weathered,0,67,9,100,10,1951,25,0,0,23,8,105,0,0.01,0
limestone,bedding plane,45,slightly weathered,0,74,14,200,10,2500,85,1,1,44,8,180,1,0.93,1
granite,fault,80,fresh,0,72,10,240,9,1601,15,0,0,18,10,90,0,0.01,0
granite,fault,56,slightly weathered,1,69,14,280,10,1801,56,0,1,42,9,79,1,0.77,1
basalt,dyke,55,slightly weathered,1,73,6,160,15,976,10,1,0,38,8,110,0,0.12,0
limestone,fault,45,slightly weathered,0,69,7,130,11,1959,60,0,0,33,10,170,0,0.06,0
granite,dyke,65,slightly weathered,0,59,10,60,10,1802,50,1,1,38,7,60,0,0.15,0
basalt,dyke,48,slightly weathered,0,64,7,330,6,1879,20,0,0,21,4,150,0,0.0,0
granite,fault,55,slightly weathered,0,68,10,50,8,2101,30,1,0,35,8,30,1,0.77,1
basalt,fault,60,fresh,0,55,8,195,6,1914,10,0,1,45,9,90,0,0.12,0
limestone,bedding plane,45,highly weathered,1,72,13,290,14,2023,75,1,1,49,9,135,1,0.98,1
granite,fault,40,slightly weathered,0,68,10,120,10,1503,65,1,0,35,8,75,0,0.06,0
limestone,bedding plane,70,highly weathered,1,55,9,45,6,2119,85,1,0,22,11,120,0,0.07,0
granite,dyke,70,fresh,0,73,15,200,10,1702,30,0,0,32,8,140,0,0.04,0
basalt,fault,60,slightly weathered,0,58,7,90,9,1555,10,0,0,12,5,10,0,0.0,0
granite,bedding plane,85,slightly weathered,1,65,12,100,10,1801,45,1,0,35,8,30,1,0.85,1
sandstone,fault,35,slightly weathered,0,58,9,95,9,1358,40,1,1,20,6,110,0,0.0,0
sandstone,fault,40,slightly weathered,0,55,10,250,12,1500,50,0,0,25,6,60,0,0.0,0
sandstone,bedding plane,38,slightly weathered,0,52,7,90,9,1462,28,0,0,18,7,100,0,0.0,0
limestone,bedding plane,45,slightly weathered,0,70,14,120,10,2024,70,1,0,35,7,90,1,0.83,1
basalt,bedding plane,40,slightly weathered,0,55,12,90,10,1801,20,0,0,20,6,60,0,0.05,0
granite,joint,50,slightly weathered,0,62,9,270,10,2016,35,0,0,28,9,60,0,0.01,0
sandstone,fault,60,slightly weathered,0,52,12,210,9,2109,55,0,1,38,9,40,1,0.73,1
limestone,fault,49,slightly weathered,0,73,14,320,15,2114,75,1,0,35,10,130,0,0.14,0
basalt,dyke,25,slightly weathered,1,69,7,230,14,1865,22,0,0,39,9,115,0,0.07,0
granite,dyke,29,slightly weathered,1,67,6,300,11,1904,65,1,0,32,9,85,0,0.08,0
sandstone,fault,55,slightly weathered,0,62,13,160,8,2307,65,0,1,42,12,140,0,0.31,0
basalt,fault,25,slightly weathered,1,66,8,278,7,956,49,1,1,23,7,130,0,0.07,0
basalt,dyke,55,slightly weathered,0,66,8,280,9,2200,60,0,1,38,9,95,1,0.72,1
sandstone,fault,35,highly weathered,1,72,8,195,7,1912,85,1,0,33,7,35,0,0.15,0
basalt,joint,38,slightly weathered,0,54,12,135,12,2123,20,0,1,43,10,20,1,0.85,1
granite,fault,45,slightly weathered,1,58,11,180,13,945,50,1,0,25,7,55,0,0.05,0
limestone,dyke,65,slightly weathered,0,69,8,300,9,1136,55,0,0,32,8,30,0,0.04,0
granite,fault,65,fresh,0,59,7,310,6,2309,40,0,0,39,9,20,1,0.69,0
basalt,fault,25,fresh,0,68,14,245,10,2030,20,0,1,33,7,60,0,0.07,0
granite,fault,51,slightly weathered,0,67,9,225,9,1402,68,1,1,26,9,110,0,0.05,0
basalt,bedding plane,40,highly weathered,1,47,13,340,6,1655,70,1,0,31,10,112,0,0.08,0
sandstone,fault,52,slightly weathered,1,61,7,300,9,1908,45,1,0,27,9,95,0,0.01,0
granite,fault,65,slightly weathered,1,68,10,350,15,2018,40,1,0,32,9,45,0,0.22,0
sandstone,bedding plane,58,fresh,0,46,9,45,13,1601,40,1,0,28,4,150,0,0.03,0
basalt,dyke,80,fresh,0,66,10,240,14,1222,20,0,1,45,12,30,1,0.86,1
sandstone,bedding plane,90,highly weathered,1,72,14,180,12,2106,65,1,1,45,11,120,1,0.98,1
limestone,fault,40,slightly weathered,0,66,9,250,9,1601,60,0,0,24,8,55,0,0.03,0
basalt,dyke,65,fresh,0,58,7,200,14,1763,50,0,0,32,9,80,0,0.04,0
sandstone,bedding plane,40,highly weathered,1,60,14,150,6,2107,65,1,0,28,7,10,1,0.84,1
sandstone,bedding plane,52,highly weathered,0,52,9,90,14,1251,88,1,0,34,5,132,0,0.07,0
basalt,joint,32,highly weathered,1,58,9,210,9,1702,60,1,0,32,8,35,0,0.1,0
limestone,bedding plane,45,fresh,0,66,14,120,9,2102,15,0,0,22,7,15,0,0.01,0
basalt,joint,50,fresh,0,73,11,250,13,1409,60,1,1,43,11,75,1,0.86,1
sandstone,fault,15,highly weathered,0,66,15,100,13,1503,52,1,0,18,5,50,0,0.05,0
